turn,x_m,xp_rad,y_m,yp_rad,z_m,dE_GeV,action_x,action_x_normalised
1165.0,-0.004201117330954478,0.0011686980777463384,-1.9088191736250637e-14,2.315481184758911e-14,3.457293916042445,-4.0107073047350745e-06,8.524756818166928e-06,1.5536354581657839
1166.0,0.009724520326461754,-0.001014480970498841,2.2297461090747511e-13,1.0086958708249964e-14,3.4214918104152074,-4.025726798409845e-06,7.41084498852003e-06,1.3506252195485753
1167.0,-0.00543272723643049,-0.00011366193950930379,3.178051445119502e-13,-1.042830120159586e-14,3.382112024841683,-4.040573424670893e-06,7.856122478863913e-06,1.4317769652789696
1168.0,-0.00605101825509893,0.0012839623923154755,2.155094465305281e-13,-2.512597218237401e-14,3.348344387417675,-4.05527181944556e-06,8.726234182044061e-06,1.590354672943877
1169.0,0.009702395560797715,-0.0008453585848198504,-2.7866861557585267e-14,-2.244217622106778e-14,3.312848515775501,-4.0698143962176855e-06,7.566755632101978e-06,1.3790399074207447
1170.0,-0.0034204804743840403,-0.000386991367630879,-2.7020239199257585e-13,-6.428141610132841e-15,3.272864496207404,-4.084181453139912e-06,7.733946027903393e-06,1.4095103281872696
1171.0,-0.0078169446757823,0.0013453695709909079,-3.203002720197255e-13,1.3980848810561963e-14,3.238132335086964,-4.09839604455786e-06,8.806929982986117e-06,1.6050614687320557
1172.0,0.009074035235051991,-0.0006001573174096718,-1.863036761662213e-13,2.5789266909724527e-14,3.2029882375446443,-4.112456362173622e-06,7.66506673644584e-06,1.3969570892123189
1173.0,-0.0009465066248572963,-0.0006677692406950934,5.522959762994884e-14,2.0505858298046282e-14,3.162598997911925,-4.126339381124706e-06,7.512724260710075e-06,1.369192699314011
1174.0,-0.009297228138375737,0.0013249324663974478,2.63155460250951e-13,4.4739425174351164e-15,3.1267133178951356,-4.140064870911936e-06,8.725961360862586e-06,1.5903049513306602
1175.0,0.007650156301844814,-0.00027242228868668667,2.9935306494567074e-13,-1.2511324565505419e-14,3.0919063128149538,-4.153637566648616e-06,7.70812892281017e-06,1.4048051652417948
1176.0,0.0019076823271470212,-0.0009288125710954353,1.8720283117804353e-13,-2.3229490432267998e-14,3.0513872540800135,-4.1670323938472135e-06,7.242675889398611e-06,1.3199764302709693
1177.0,-0.010206923175505873,0.001192630905277414,-2.239071559691952e-14,-1.9836825394127424e-14,3.0141635400997213,-4.180263818247366e-06,8.507550347266998e-06,1.5504995818152632
1178.0,0.005293318221775086,0.0001287607940199327,-2.0378784346791e-13,-8.672150633355788e-15,2.979580406196276,-4.193343431335466e-06,7.75806653632896e-06,1.4139062866830108
1179.0,0.0048982582130695975,-0.0011265306166709378,-2.7584151296866015e-13,6.619754646530342e-15,2.939274452428571,-4.206246111363014e-06,7.0378155327025755e-06,1.2826406656357627
1180.0,-0.010199221378805913,0.0009263751421946401,-2.2727892859783586e-13,1.751673185233961e-14,2.900587882895264,-4.218978967021954e-06,8.250019887513718e-06,1.5035646999922687
1181.0,0.002038803416543917,0.0005663767082784818,-9.589302499581949e-14,2.168638111554392e-14,2.865981128386718,-4.231559907680289e-06,7.927865626728782e-06,1.4448521415896598
1182.0,0.007572121976608015,-0.0012048968764396763,7.297457382761823e-14,1.5431607493355072e-14,2.8262535423369934,-4.243966454167763e-06,7.019468184221243e-06,1.2792968645430236
1183.0,-0.008969179830499156,0.0005288493257708485,2.3807173147803584e-13,3.7324973097851824e-15,2.7861208704209184,-4.256196828258694e-06,8.046690619669346e-06,1.4665079760359092
1184.0,-0.0017923351356599075,0.0009717962694737248,2.629232124209329e-13,-9.486707396841583e-15,2.7511062659682457,-4.268273496989728e-06,8.276853531833673e-06,1.5084551270362927
1185.0,0.009334586767551549,-0.0011127738136262693,2.020205728808917e-13,-1.9161986256686503e-14,2.7122627713743364,-4.280179652490369e-06,7.208934110411816e-06,1.3138269968767213
1186.0,-0.006399871618918678,3.843678823988956e-05,7.179008634647601e-14,-2.112814299145938e-14,2.6709117387354464,-4.291904287295483e-06,7.861002567368948e-06,1.4326663605663814
1187.0,-0.005618826564630577,0.00125864575561519,-9.843379537608229e-14,-1.3485928751076024e-14,2.635016020748601,-4.303471348872564e-06,8.648602057916788e-06,1.576206231726196
1188.0,0.009612650741386309,-0.0008227892908889426,-2.387586130646146e-13,-4.172933757082091e-15,2.5972149883888553,-4.314872473367844e-06,7.4780033768258256e-06,1.3628648242212613
1189.0,-0.002637975429615367,-0.00047644621984704644,-2.609760928667674e-13,8.671296097404977e-15,2.555098509581936,-4.326088717050281e-06,7.569827004767049e-06,1.3795996645586288
1190.0,-0.008723606187715179,0.001343503209796234,-2.253216375413545e-13,1.8264897480286765e-14,2.5178377832206995,-4.337141395459174e-06,8.756282065245552e-06,1.5958308944690673
1191.0,0.007981369913142017,-0.0003414034276774475,-1.1453846865812533e-13,2.2995429199117008e-14,2.481014654227534,-4.348032429537569e-06,7.676293145890563e-06,1.3990031003951882
1192.0,0.001867368418860949,-0.0009234200445014478,4.90073080953681e-14,1.70179951189966e-14,2.438775361413717,-4.358738043680335e-06,7.2053494379112016e-06,1.3131736909324394
1193.0,-0.010314998279802139,0.0011624007256378942,2.1014624047755654e-13,8.315717298409758e-15,2.399755731866235,-4.369272371404294e-06,8.525041001157246e-06,1.5536872504667003
1194.0,0.0043307971647932025,0.0002714164832556099,2.953196173654008e-13,-3.30277179231351e-15,2.363549751342232,-4.379647763925249e-06,7.839638777990586e-06,1.4287728136409987
1195.0,0.006232431585618933,-0.001182252831348983,2.5620432914875797e-13,-1.4382871470665985e-14,2.3219274137448758,-4.389840444789736e-06,7.0070939691833875e-06,1.2770416659889945
1196.0,-0.009655936263785332,0.0007034795542346129,1.8964220853828422e-13,-2.204883258031697e-14,2.281011770581511,-4.399853516209646e-06,8.186183340520286e-06,1.4919305003251877
1197.0,-0.0007639861305781055,0.000875011811278953,5.5145710323315525e-14,-2.1777803606876735e-14,2.2447461887890703,-4.409707390791883e-06,8.20084827421332e-06,1.4946031819585914
1198.0,0.009156018450111023,-0.0011355085281881854,-8.020825862986063e-14,-1.530218542609569e-14,2.204377881092542,-4.419384058595409e-06,7.155553960812489e-06,1.3040984738292403
1199.0,-0.006485469281141209,5.251035647220844e-05,-2.291630710531974e-13,-7.132280757196013e-15,2.161884851325508,-4.428874192621515e-06,7.862849176770151e-06,1.433002904810902
1200.0,-0.005944999312193229,0.0012754971262414676,-2.899026541187435e-13,6.1430656923607726e-15,2.1246992470648363,-4.438201091141318e-06,8.664462213204021e-06,1.579096742288767
1201.0,0.009428651762756141,-0.0007388646607957474,-2.5616923766705203e-13,1.4963705385867243e-14,2.08586966103359,-4.44735753748584e-06,7.495868267359248e-06,1.3661206974362985
1202.0,-0.0013524281200865231,-0.0006186865672401847,-2.0539650953856388e-13,2.385367732612504e-14,2.0425993381325562,-4.456324037930407e-06,7.423255149814685e-06,1.3528869693016994
1203.0,-0.009581875713785663,0.0013075260811315616,-5.79359700250348e-14,2.3986747833999964e-14,2.0036943899923143,-4.465119755378876e-06,8.711563521008352e-06,1.5876809475032594
1204.0,0.006466762469530491,-5.6348169378182774e-05,9.181961934891178e-14,1.7692839087574142e-14,1.966154900982836,-4.473750683855465e-06,7.756890773018398e-06,1.4136920040226766
1205.0,0.004404346179616113,-0.0010992469799259112,2.386008140840714e-13,8.678647337191033e-15,1.923201933632602,-4.482193059543629e-06,7.04681268980179e-06,1.2842803959635816
1206.0,-0.010214494533510959,0.0009019128849828754,3.117907846903888e-13,-4.19208703679206e-15,1.8821157579322294,-4.490455077192012e-06,8.347314594834251e-06,1.5212966436018398
1207.0,0.0007924792400505862,0.000713046095852641,2.8511517972174413e-13,-1.3746033583226043e-14,1.8450275779395706,-4.498554287002272e-06,8.085299469533894e-06,1.4735444322572446
1208.0,0.008699960546605372,-0.0011751344292485425,2.386684406028998e-13,-2.375245125601863e-14,1.8034392624745423,-4.50647093450472e-06,7.086631625686242e-06,1.2915373901531022
