turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
11300.0,1000.0,1950000000.0,6.646924993291522e-07,5.306414163628517e-07,4.944788211432941e-06,8.185342528511155e-05,0.00041570679697287925,0.07056076666293573
11400.0,1000.0,1950000000.0,6.665842793353461e-07,5.264596885819697e-07,4.944180211523204e-06,-0.0005434604010061447,0.00025700383985118914,0.028121524845101883
11500.0,1000.0,1950000000.0,6.674036566340083e-07,5.340769842649496e-07,4.944280229877572e-06,5.9982351129264474e-05,0.00021664406410739853,-0.024879256102843295
11600.0,1000.0,1950000000.0,6.703597302421534e-07,5.305082099747382e-07,4.944884455489697e-06,0.00011351538198523824,0.00016759991309313118,-0.06848245817551682
11700.0,1000.0,1950000000.0,6.747730873484021e-07,5.274432926470063e-07,4.9454593043069055e-06,-0.0005694639273670454,-0.00010039805773192644,-0.08620510200246792
11800.0,1000.0,1950000000.0,6.765064922122364e-07,5.353098164682717e-07,4.945829812551607e-06,-6.11636532520029e-05,0.0004084199338854592,-0.07121655546787244
11900.0,1000.0,1950000000.0,6.796828771446442e-07,5.381481244547555e-07,4.9455844833729015e-06,7.021255379571812e-07,-0.0003255187113696561,-0.029156861561844633
12000.0,1000.0,1950000000.0,6.78671848167205e-07,5.4103043189411e-07,4.94496062947084e-06,0.00022683760682396458,0.0001953782584838623,0.023901791641499033
12100.0,1000.0,1950000000.0,6.868902837085227e-07,5.428069026629494e-07,4.944290703682056e-06,-0.00015970988786781243,0.0003542467230964293,0.0676893148461827
12200.0,1000.0,1950000000.0,6.899378582852447e-07,5.427273744359335e-07,4.94424015609448e-06,-5.851748469567825e-05,7.558315036850204e-05,0.08570010077374784
12300.0,1000.0,1950000000.0,6.891196944750169e-07,5.425248880555159e-07,4.9443108759216066e-06,-0.0001223681542823291,-0.0002520323198771444,0.07103806464654647
12400.0,1000.0,1950000000.0,6.903613662348952e-07,5.45473499385463e-07,4.944980916322076e-06,-5.740186296491497e-05,-0.0004498244135727068,0.0292292837477662
12500.0,1000.0,1950000000.0,6.861838414783424e-07,5.443182880744656e-07,4.945360072392433e-06,0.0002286729095598946,-0.0005036253910246537,-0.023756040030547376
12600.0,1000.0,1950000000.0,6.868200107445704e-07,5.43311398088034e-07,4.945855837237211e-06,-0.0003022959080831241,-8.686074308322447e-05,-0.06770629735048005
12700.0,1000.0,1950000000.0,6.839509097276695e-07,5.4137779404007e-07,4.946075972981284e-06,-0.00011793168566559629,-3.256567192906585e-05,-0.08567769440493292
12800.0,1000.0,1950000000.0,6.985196306496416e-07,5.362330916130179e-07,4.946071547358459e-06,7.130417359481882e-05,-0.000224904250849155,-0.0710281104452167
12900.0,1000.0,1950000000.0,6.972836044585805e-07,5.361710394451317e-07,4.945644262736573e-06,-0.00040174047309552807,-8.328132739218925e-05,-0.029499702950901954
13000.0,1000.0,1950000000.0,6.988356174442094e-07,5.409141599615189e-07,4.9453383329657925e-06,-0.00026395815749979165,0.00017756306490164183,0.0233282096261088
13100.0,1000.0,1950000000.0,7.097805546738222e-07,5.42238784022382e-07,4.944432024448245e-06,-0.00017541813417961137,0.0002453321109964544,0.06701006865755166
13200.0,1000.0,1950000000.0,7.070048723794509e-07,5.592179557586968e-07,4.9436684558586655e-06,0.00017520211619623458,0.00010222110939463656,0.084995177105189
